ALIMENT;CALORIES
"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux";250
"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux";214
Saindoux;897
Lard gras, cru;810
Graisse de poulet;898
Graisse de canard;898
Graisse d'oie;898
Graisse de dinde;898
Matière grasse végétale (type margarine) à 80% MG, salé;722
Matière grasse végétale ou margarine, 80% MG, doux;727
Matière grasse végétale (type margarine) à 70% MG, doux;641
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux;368
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel;375
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, aux esters de stérol végétal;364
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3;360
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3;525
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel;535
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal;559
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3;491
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux;519
Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal;325
Matière grasse mélangée (végétale et laitière) à 50-63% MG;489
Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel;481
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG;383
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel;370
Beurre de cacao;900
Matière grasse ou graisse végétale solide (type margarine) pour friture;900
Huile pour friture, sans précision;866
Huile de palme, sans précision;900
Huile de palme raffinée;900
Huile d'amandes d'abricot;900
Huile d'amande;900
Huile d'arachide;900
Huile d'avocat;900
Huile de germe de blé;900
Huile de carthame;900
Huile de colza;900
Huile de coton;900
Huile de lin;900
Huile de maïs;900
Huile de noisette;900
Huile de noix;900
Huile d'olive vierge extra;900
Huile de pépins de raisin;900
Huile de sésame;900
Huile de soja;900
Huile de tournesol;900
Huile combinée (mélange d'huiles);897
Huile combinée, mélange d'huile d'olive et de graines;900
Huile d'argan ou d'argane;889
Huile de foie de morue;900
Huile de sardine;900
Huile de saumon;900
Huile de hareng;900
Huile de paraffine;0
Boeuf, côte, crue;147
Boeuf, épaule, crue;162
Boeuf, entrecôte, partie maigre, grillée/poêlée;199
Boeuf, braisé;240
Boeuf, gîte à la noix, cru;138
Boeuf, entrecôte, crue;231
Boeuf, gîte à la noix, cuit;102
Boeuf, faux-filet, rôti/cuit au four;194
Boeuf, faux-filet, grillé/poêlé;182
Boeuf, faux-filet, cru;152
Boeuf, faux-filet, label rouge, cru;121
Boeuf, plat de côtes, cru;287
Boeuf, plat de côtes, braisé;269
Boeuf, hampe, crue;154
Boeuf, hampe, grillée/poêlée;174
Boeuf, joue, crue;136
Boeuf, joue, braisée ou bouillie;236
Boeuf, jarret, cru;122
Boeuf, jarret, bouilli/cuit à l'eau;161
Boeuf, tende de tranche, crue;116
Boeuf, tende de tranche, grillée/poêlée;141
Boeuf, tende de tranche, rôtie/cuite au four;146
Boeuf, steak ou bifteck, grillé;128
Boeuf, steak ou bifteck, cru;223
Boeuf, boule de macreuse, crue;118
Boeuf, onglet, cru;139
Boeuf, onglet, grillé;171
Boeuf, rumsteck, cru;114
Boeuf, rumsteck, grillé;123
Boeuf, boule de macreuse, grillée/poêlée;144
Boeuf, rosbif, rôti/cuit au four;117
Boeuf, bavette d'aloyau, grillée/poêlée;162
Boeuf, bavette d'aloyau, crue;133
Boeuf, boule de macreuse, rôtie/cuite au four;147
Boeuf, à bourguignon ou pot-au-feu, cuit;172
Boeuf, à bourguignon ou pot-au-feu, cru;164
Boeuf, collier, braisé;184
Bœuf, steak haché 5% MG, cru;130
Bœuf, steak haché 5% MG, cuit;155
Bœuf, steak haché 10% MG, cru;171
Bœuf, steak haché 10% MG, cuit;210
Bœuf, steak haché 15% MG, cru;209
Bœuf, steak haché 15% MG, cuit;239
Bœuf, steak haché 20% MG, cru;249
Bœuf, steak haché 20% MG, cuit;265
Haché à base de bœuf ou Préparation de viande hachée de boeuf, 15% MG, cru;196
Boeuf, paleron, cru;144
Boeuf, paleron, braisé ou bouilli;251
Boeuf, queue, bouillie/cuite à l'eau;196
Corned beef;188
Veau, côte, crue;189
Veau, côte, grillée/poêlée;168
Veau, carré, sauté/poêlé;171
Veau, carré, cru;145
Veau, escalope, cuite;147
Veau, escalope, crue;108
Veau, noix, crue;111
Veau, noix, grillée/poêlée;147
Veau, noix, rôtie;147
Veau, filet, cru;95
Veau, filet, rôti/cuit au four;201
Veau, steak haché 20% MG, cru;243
Veau, steak haché 15% MG, cru;208
Veau, poitrine, crue;176
Veau, rôti, cru;145
Veau, rôti, cuit;143
Veau, épaule, crue;124
Veau, épaule, grillée/poêlée;166
Veau, épaule, braisée ou bouillie;219
Veau, pied, cru;184
Veau, jarret, braisé ou bouilli;207
Veau, tête, bouillie/cuite à l'eau;187
Veau, jarret, cru;118
Veau, collier, cru;133
Veau, collier, braisé ou bouilli;233
Cheval, viande, crue;167
Cheval, steak, cru;129
Cheval, viande, rôtie/cuite au four;138
Cheval, tende de tranche, crue;106
Cheval, faux-filet, cru;121
Cheval, entrecôte, crue;118
Cheval, tende de tranche, grillée/poêlée;135
Cheval, faux-filet, grillé/poêlé;163
Cheval, entrecôte, grillée/poêlée;169
Cheval, faux-filet, rôti/cuit au four;173
Cheval, tende de tranche, rôtie/cuite au four;144
Chevreuil, rôti/cuit au four;150
Sanglier, cru;147
Sanglier, rôti/cuit au four;153
Lièvre, viande crue;111
Chevreuil, cru;110
Cerf, cru;113
Cerf, rôti/cuit au four;150
Mouton, viande, crue;137
Mouton, épaule, crue;204
Mouton, pied, cru;204
Mouton, tête, crue;204
Mouton, gigot, cru;134
Agneau, côtelette, crue;368
Agneau, côtelette, grillée;240
Agneau, gigot, cru;128
Agneau, gigot, rôti/cuit au four;168
Agneau, épaule, crue;204
Agneau, épaule, maigre, crue;139
Agneau, épaule, rôtie/cuite au four;252
Agneau, épaule, maigre, rôtie/cuite au four;197
Agneau, collier, braisé ou bouilli;365
Agneau, côte filet, grillée/poêlée;157
Agneau, côte première, grillée/poêlée;185
Agneau, selle, partie maigre, rôtie/cuite au four;153
Agneau, collier, cru;195
Agneau, selle, crue;236
Agneau, côte filet, crue;242
Agneau, côte première, crue;276
Agneau, gigot, grillé/poêlé;174
Agneau, gigot, braisé;222
Agneau, selle, partie maigre, grillée/poêlée;153
Chevreau, cru;103
Chevreau, cuit;136
Porc, épaule, crue;178
Porc, poitrine, crue;253
Porc, longe, crue;164
Porc, jarret, cru;187
Porc, longe, cuite;237
Porc, épaule, cuite;253
Porc, côte, crue;164
Porc, côte, grillée;242
Porc, rouelle de jambon, crue;149
Porc, rouelle de jambon, cuite;266
Porc, carré, cru;146
Porc, carré, cuit;206
Porc, filet, maigre, cru;117
Porc, filet, maigre, en rôti, cuit;198
Porc, filet mignon, cuit;168
Porc, filet mignon, cru;123
Porc, rôti, cru;153
Porc, rôti, cuit;163
Porc, échine, crue;198
Porc, travers, cru;237
Porc, travers, braisé;333
Porc, échine, rôtie/cuite au four;295
Porc, escalope de jambon, crue;129
Porc, escalope de jambon, cuite;200
Lapin, viande braisée;197
Lapin, viande crue;189
Lapin, viande cuite;167
Lapin de garenne, viande, crue;108
Lapin de garenne, viande, cuite;164
Poule, viande et peau, crue;215
Poule, viande ,crue;124
Poulet, cuisse, viande et peau, cru;188
Poulet, viande, crue;108
Poulet, cuisse, viande et peau, rôtie/cuite au four;221
Poulet, viande et peau, rôti/cuit au four;213
Poulet, cuisse, viande, rôti/cuit au four;171
Poulet (var. blanc), viande et peau, cru;123
Poulet fermier, viande et peau, cru;135
Poule, cuisse, crue;131
Poulet, viande et peau, cru;173
Poulet, blanc, sans peau, cru;108
Poulet, blanc, sans peau, cuit;137
Poulet, haut de cuisse, viande, cru;116
Poulet éviscéré sans abats, cru;210
Poulet, pilon, cru;155
Poulet, aile, viande et peau, cru;188
Poulet, cuisse, viande, cru;114
Poulet, croquette panée ou Nuggets;234
Poulet, poitrine, viande et peau, cru;157
Poulet, cuisse, viande, bouilli/cuit à l'eau;188
Poulet, cuisse, viande et peau, bouilli/cuit à l'eau;205
Poulet, poitrine, viande et peau, rôti/cuit au four;189
Poulet, aile, viande et peau, rôti/cuit au four;247
Poulet, manchons marinés, rôtis/cuits au four;213
Poulet, escalope panée;339
Chapon, viande et peau, cru;183
Chapon, viande et peau, rôti/cuit au four;221
Caille, viande et peau, crue;136
Caille, viande, crue;126
Caille, viande et peau, cuite;206
Canard, viande et peau, rôti/cuit au four;331
Canard, viande, crue;126
Canard, viande, rôtie/cuite au four;194
Canard, cuisse avec peau, sans os, crue;103
Canard, viande et peau, cru;340
Canard, magret, grillé/poêlé;155
Canard, magret, cru;340
Dinde, viande et peau, crue;132
Dinde, viande, crue;110
Dinde, viande, rôtie/cuite au four;169
Dinde, escalope, crue;109
Dinde, cuisse, viande et peau, crue;150
Dinde, escalope, sautée/poêlée;126
Dinde, cuisse, viande sans peau, crue;109
Dinde, escalope, rôtie/cuite au four;128
Dinde, aile, crue;192
Dinde, escalope viennoise ou milanaise ou escalope panée;211
Faisan, viande, cru;127
Faisan, viande, rôtie/cuite au four;239
Faisan, viande et peau, cru;164
Oie, viande crue;155
Oie, viande et peau, crue;365
Oie, viande, rôtie/cuite au four;230
Oie, viande et peau, rôtie/cuite au four;298
Pigeon, cru;222
Pigeon, viande, rôtie/cuite au four;213
Pintade, crue;143
Pintade, poitrine, crue;107
Pintade, cuisse, crue;121
Autruche, viande crue;159
Autruche, viande cuite;168
Tripes à la mode de Caen, préemballées;111
Tripes à la tomate ou à la provençale;96.2
Cervelle, agneau, crue;121
Cervelle, agneau, cuite;142
Cervelle, porc, braisée;174
Cervelle, porc, crue;128
Cervelle, veau, crue;116
Cervelle, veau, cuite;141
Coeur, boeuf, cru;100
Coeur, boeuf, cuit;133
Coeur, poulet, cru;149
Coeur, dinde, cru;135
Coeur, poulet, cuit;177
Coeur, dinde, cuit;167
Coeur, agneau, cru;118
Coeur, agneau, cuit;179
Coeur, porc, cru;108
Coeur, veau, cru;105
Foie, agneau, cru;137
Foie, agneau, cuit;163
Foie, génisse, cru;136
Foie, génisse, cuit;165
Foie, veau, cru;125
Foie, veau, cuit;137
Foie, volaille, cru;133
Foie, lapin, cru;134
Foie, poulet, cru;117
Foie, porc, cuit;150
Foie, dinde, cru;123
Foie, poulet, cuit;160
Foie, dinde, cuit;182
Foie, porc, cru;124
Foie, oie, cru;129
Foie, canard, cru;131
Langue, veau, cuite;239
Langue, boeuf, crue;195
Langue, boeuf, cuite;236
Langue, veau, crue;153
Langue, porc, crue;189
Ris, agneau, cru;131
Ris, agneau, cuit;228
Ris, veau, cru;101
Ris, veau, braisé ou sauté/poêlé;149
Rognon, boeuf, cru;92.3
Rognon, boeuf, cuit;171
Rognon, porc, cru;94.6
Rognon, porc, cuit;148
Rognon, agneau, braisé;139
Rognon, agneau, cru;92.8
Rognon, veau, braisé ou sauté/poêlé;167
Rognon, veau, cru;94.9
Tripes, boeuf, crues;81.5
Sang, boeuf, cru;82.1
Gésier, poulet, cru;104
Gésier, canard, confit, appertisé;149
Jambon de porc à cuire ou Jambon à rôtir/cuire au four;161
Filet de bacon;120
Jambon cuit, fumé;135
Jambon cuit, supérieur;129
Jambon cuit, supérieur, avec couenne;134
Jambon cuit, supérieur, découenné;117
Jambon à l'os braisé;238
Jambon cuit, supérieur, découenné dégraissé;119
Jambon cuit, supérieur, à teneur réduite en sel;121
Jambon cuit, choix;125
Épaule de porc, cuite, choix, découennée dégraissée;121
Jambon cuit, choix, avec couenne;127
Jambon cuit, choix, découenné dégraissé;114
Rond de jambon cuit;182
Jambon cuit, standard, découenné dégraissé;147
Jambon cuit, standard, avec couenne;141
Dés, allumettes, râpé ou haché de jambon;121
Épaule de porc, cuite, standard, découennée dégraissée;123
Jambon cuit, de Paris, découenné dégraissé;114
Dés, allumettes, râpé ou haché de jambon de volaille;132
Jambonneau, cuit;155
Jambon de poulet ou Blanc de poulet en tranche;106
Jambon de dinde ou Blanc de dinde en tranche;104
Jambon cru;225
Jambon cru, fumé;246
Jambon sec, découenné, dégraissé;192
Jambon cru, fumé, allégé en matière grasse;142
Jambon de Bayonne;228
Jambon sec;230
Jambon sec de Parme;248
Jambon sec Serrano;235
Coppa;284
Pancetta ou Poitrine roulée sèche;323
Chipolata, cuite;308
Saucisse de Toulouse, cuite;278
Chair à saucisse, crue;323
Chair à saucisse, pur porc, crue;273
Chair à saucisse, porc et bœuf, crue;309
Saucisse pur porc, crue;288
Saucisse fumée, à cuire;343
Saucisse de Morteau;397
Saucisse de Montbéliard;319
Saucisse de Morteau, bouillie/cuite à l'eau;323
Saucisse de Toulouse, crue;304
Chipolata, crue;253
Saucisse suisse à cuire;323
Saucisse alsacienne fumée ou Gendarme;298
Saucisse de volaille, façon charcutière;239
Saucisse de volaille, type Knack;256
Saucisse de Francfort;271
Merguez, crue;316
Merguez, pur bœuf, crue;436
Merguez, porc et bœuf, crue;415
Merguez, bœuf, mouton et porc, crue;358
Merguez, boeuf et mouton, cuite;283
Merguez, boeuf et mouton, crue;315
Saucisse de foie;244
Diot, cru;342
Saucisse de Strasbourg ou Knack;291
Saucisse cocktail;290
Saucisse viennoise, crue;233
Saucisse de jambon pur porc;224
Saucisse de bière;319
Saucisse de langue à la pistache;294
Confit de foie de porc;347
Confit de foie de volaille;358
Pâté au poivre vert;358
Pâté au jambon;320
Pâté ou terrine de campagne;308
Pâté breton;363
Terrine de canard;304
Pâté de lapin;247
Terrine de lapin;281
Pâté de gibier;284
Pâté ou terrine aux champignons (forestier);329
Pâté de foie de porc, supérieur;341
Pâté de foie de porc;352
Mousse de foie de porc supérieure ou Crème de foie;322
Mousse de foie de porc;287
Mousse de canard;395
Pâté de foie de volaille;277
Pâté de foie d'oie;459
Pâté en croûte;290
Rillettes traditionnelles de porc;391
Rillettes pur porc;421
Rillettes de Tours;522
Rillettes du Mans;415
Rillettes pur oie;417
Rillettes de canard;416
Rillettes d'oie;459
Rillettes de poulet;340
Saucisson sec;418
Saucisson sec pur porc;416
Saucisson sec pur porc, qualité supérieure;366
Rosette ou Fuseau;380
Saucisse sèche;451
Saucisson sec aux noix et/ou noisettes;477
Quenelle de veau, en sauce;165
Quenelle de volaille, crue;189
Quenelle de volaille, en sauce;138
Quenelle de poisson, en sauce;135
Quenelle de poisson, crue;245
Quenelle nature, crue;217
Confit de canard;273
Canard, magret fumé;364
Foie gras, canard, entier, cuit;526
Foie gras, canard, bloc, sans morceaux;488
Foie gras, canard, bloc, 30% de morceaux;501
Foie gras, canard, bloc, 50% de morceaux;488
Foie gras de canard, cru;600
Roulade de porc pistachée;271
Jambon en croûte;236
Fromage de tête;187
Museau de porc vinaigrette;229
Museau de boeuf;151
Andouille;211
Andouille de Guéméné;234
Andouille, réchauffée à la poêle;271
Andouille de Vire;238
Andouillette, crue;225
Andouillette, sautée/poêlée;302
Andouillette de Troyes, crue;252
Boudin noir, rayon frais;297
Boudin noir, sauté/poêlé;279
Boudin blanc, sauté/poêlé;-
Boudin blanc truffé, cru;244
Museau de boeuf en vinaigrette;167
Lardon nature, cru;269
Poitrine de porc, fumée, crue;303
Bresaola;175
Lardon nature, cuit;324
Oreille de porc demi-sel;228
Pied de porc demi-sel;137
Poitrine de porc demi-sel;271
Lardon fumé, cru;275
Lardon fumé, cuit;277
Viande des Grisons;207
Haché de volaille;137
Rôti de volaille en salaison, cuit;110
Chorizo;431
Salami;467
Salami pur porc;400
Salami porc et boeuf;351
Salami type danois;442
Saucisson à l'ail;276
Saucisson cuit pur porc;322
Saucisson de Paris;346
Saucisson de Paris, fumé;288
Saucisson brioché, cuit;303
Cervelas;274
Cervelas obernois;305
Cervelas à l'ail, pur porc;305
Mortadelle;301
Mortadelle, pur porc;310
Mortadelle, porc et boeuf;306
Mortadelle pistachée pur porc;318
Bar rayé ou bar d'Amérique, cru;113
Lieu ou colin d'Alaska, cru;71.8
Flétan de l'Atlantique ou flétan blanc, cru;99.1
Hareng, cru;165
Lotte ou baudroie, crue;68.5
Saumon, cru, élevage;192
Turbot sauvage, cru;88.4
Cabillaud, cru;77.7
Merlu, cru;78.4
Lieu noir, surgelé, cru;82.4
Merlu, filet, surgelé, cru;82
Maquereau, cru;194
Raie, crue;89.9
Thon, cru;112
Carrelet ou plie, cru;80.9
Limande, crue;80.8
Sole, crue;77.3
Rascasse, crue;95.6
Thon albacore ou thon jaune, cru;104
Sardine, crue;198
Thon listao ou Bonite à ventre rayé, cru;97.1
Thon rouge, cru;155
Bar commun ou loup, cru, sans précision;106
Roussette ou petite roussette ou saumonette, crue;97.8
Bar ou loup de l'Atlantique, cru;88.8
Thon germon ou thon blanc, cru;121
Anchois commun, cru;125
Dorade royale, ou daurade ou vraie daurade, crue, sauvage;80.9
Espadon, cru;175
Éperlan, cru;85.8
Cardine franche, crue;93.4
Rouget-barbet de roche, cru;158
Dorade royale ou daurade ou vraie daurade, crue, élevage;129
Mulet, cru;114
Truite de mer, crue;110
Merlan, cru;79.5
Morue, salée, sèche;190
Dorade grise, ou daurade grise, ou griset, crue;130
Bogue, crue;90
Bonite, crue;111
Maquereau espagnol ou maquereau blanc ou billard, cru;134
Denté, cru;99.3
Saint-Pierre, cru;84.8
Grondin, cru;94
Corb, cru;87.2
Capelan, cru;90
Dorade rose, ou daurade rose, crue;102
Saupe, crue;94.5
Chinchard, cru;116
Églefin, cru;72.3
Congre, cru;115
Grenadier (de roche), cru;68.9
Lieu jaune ou colin, cru;76.7
Julienne ou Lingue, crue;80.6
Grand sébaste, ou dorade sébaste, ou daurade sébaste, cru;80.4
Tacaud, cru;81.6
Lieu noir, cru;83.6
Limande-sole, crue;80.6
Foie de morue, cru;619
Vivaneau, cru;94.1
Lavaret, cru;113
Sabre, cru;125
Flétan du Groënland ou flétan noir ou flétan commun, cru;174
Carangue, cru;104
Coulirou, cru;70.9
Saumon, cru, sauvage;158
Requin, cru;125
Orphie commune, crue;109
Lompe, crue;168
Brème, cru;104
Omble chevalier, cru;103
Loup tacheté, cru;108
Sprat, cru;162
Turbot, cru;87.1
Corégone lavaret, cru;115
Mérou, cru;86.7
Lingue bleue ou Lingue, crue;79.6
Sole tropicale ou Sole langue, crue;68.2
Turbot d'élevage, cru;109
Plie commune, crue;88.6
Bar commun ou loup (Méditerranée), cru, sauvage;97.9
Bar commun ou loup (Méditerranée), cru, élevage;124
Sébaste du nord, ou dorade sébaste, ou daurade sébaste, crue;89.5
Hoki, tout lieu de pêche, cru;92.3
Grenadier bleu ou hoki de Nouvelle-Zélande, cru;75.5
Grondin perlon, cru;97.4
Merlu blanc du Cap, surgelé, cru;78
Chinchard maigre, cru;96.7
Chinchard gras, cru;147
Hareng maigre, cru;111
Hareng gras, cru;172
Joëls (petits poissons entiers) pour friture, crus;88.9
Empereur, filet, sans peau, cru;73.5
Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…);96.7
Carpe, crue, élevage;114
Truite d'élevage, crue;133
Truite arc en ciel, crue, élevage;153
Perche, crue;84.7
Brochet, cru;85
Esturgeon, cru;101
Anguille, crue;252
Pangasius ou Poisson-chat, cru;65.2
Tilapia, cru;91.6
Truite saumonée, crue;143
Lotte de rivière, crue;77
Sandre, cru;82.9
Perche du Nil, crue;82.4
Anchois, filets roulés aux câpres, semi-conserve, égoutté;198
Anchois, filets à l'huile, semi-conserve, égoutté;182
Pilchard, sauce tomate, appertisé, égoutté;168
Sardine, à l'huile, appertisée, égouttée;207
Sardine, sauce tomate, appertisée, égouttée;190
Thon, au naturel, appertisé, égoutté;111
Sardine, à l'huile d'olive, appertisée, égouttée;202
Thon à l'huile, appertisé, égoutté;204
Thon germon ou thon blanc, cuit à la vapeur sous pression;166
Maquereau, filet sauce tomate, appertisé, égoutté;228
Maquereau, filet sauce moutarde, appertisé, égoutté;217
Maquereau, filet au vin blanc, appertisé, égoutté;206
Saumon, appertisé, égoutté;174
Maquereau, au naturel, appertisé, égoutté;187
Foie de morue, appertisé, égoutté;433
Anchois au sel (anchoité, semi-conserve);128
Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté;192
Thon albacore ou thon jaune, au naturel, appertisé, égoutté;128
Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;213
Miettes de thon à la tomate, appertisées;130
Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé;142
Miettes de thon à l'huile, appertisées;213
Carrelet ou plie, cuit à la vapeur;93
Églefin, cuit à la vapeur;88.9
Hareng, frit;201
Hareng, grillé/poêlé;196
Lieu noir, cuit;99.7
Limande-sole, cuite à la vapeur;90.1
Maquereau, rôti/cuit au four;228
Maquereau, frit;186
Merlan, frit;125
Merlan, cuit à la vapeur;98.3
Cabillaud, rôti/cuit au four;94.6
Morue, salée, bouillie/cuite à l'eau;113
Cabillaud, cuit à la vapeur;106
Mulet, rôti/cuit au four;143
Raie, rôtie/cuite au four;96.3
Roussette ou petite roussette ou saumonette, cuite;256
Saumon, cuit à la vapeur;198
Thon, rôti/cuit au four;136
Sole, cuite à la vapeur;94.6
Sole, rôtie/cuite au four;83.8
Sole, bouillie/cuite à l'eau;69
Sole, frite;72.2
Raie, cuite au court-bouillon;97.8
Lotte ou baudroie, grillée/poêlée;98.2
Espadon, rôti/cuit au four;266
Turbot, rôti/cuit au four;116
Merlu, cuit à l'étouffée;112
Églefin, grillé/poêlé;84.9
Sardine, grillée;246
Vivaneau, cuit;121
Rascasse, cuite à la vapeur;126
Saumon, cuit au micro-ondes, élevage;200
Saumon, bouilli/cuit à l'eau, élevage;193
Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four;121
Saumon, grillé/poêlé;223
Saumon, élevage, rôti/cuit au four;210
Julienne ou Lingue, cuite;105
Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur;173
Anguille, rôtie/cuite au four;229
Anguille, bouillie/cuite à l'eau;197
Brochet, rôti/cuit au four;100
Carpe, rôtie/cuite au four;151
Perche, rôtie/cuite au four;119
Truite, rôtie/cuite au four;183
Truite, cuite à la vapeur;99.4
Truite arc en ciel, élevage, rôtie/cuite au four;147
Truite arc en ciel, élevage, cuite à la vapeur;117
Bar commun ou loup, rôti/cuit au four;141
Calmar ou Calamar ou encornet, à la romaine (beignet);252
Langoustine, panée, frite;288
Beignet de crevette;222
Accra de poisson;275
Carrelet ou plie, pané, frit;242
Limande-sole, panée, frite;206
Poisson, croquette ou beignet ou nuggets, frit;255
Poisson pané, surgelé, cru;244
Poisson pané, frit;195
Merlan, pané;192
Hareng fumé, filet, doux;163
Hareng fumé, au naturel;166
Saumon fumé;178
Maquereau, fumé;245
Haddock (fumé) ou églefin fumé;99
Lieu ou colin d'Alaska, fumé;81.3
Hareng fumé, à l'huile;168
Truite d'élevage, fumée;180
Rillettes de crabe;192
Rillettes de saumon;237
Rillettes de thon;199
Rillettes de maquereau;246
Terrine de poisson;171
Tarama, préemballé;534
Escargot en sauce au beurre persillé, cuit;277
Carpaccio de saumon avec marinade;217
Oeufs de lompe, semi-conserve;111
Caviar, semi-conserve;254
Hareng mariné ou rollmops;211
Surimi, bâtonnets, tranche ou râpé saveur crabe;125
Oeufs de cabillaud, fumés, semi-conserve;146
Maquereau, mariné;185
Anchois commun, mariné;136
Surimi, fourré au fromage;144
Oeufs de saumon, semi-conserve;232
Calmar ou calamar ou encornet, cru;75.4
Coquille Saint-Jacques, noix et corail, crue;83
Escargot, cru;77.9
Homard, cru;83.6
Huître, sans précision, crue;67.2
Moule commune, crue;71
Langouste, crue;86.1
Seiche, crue;77.2
Clam, Praire ou Palourde, cru;66
Poulpe, cru;56.6
Bulot ou Buccin, cru;131
Crevette, crue;99.5
Langoustine, crue;94.7
Moule de Méditerranée, crue;68.7
Écrevisse, crue;67.7
Huître creuse, crue;67.2
Huître plate, crue;53.5
Crevette, surgelée, crue;105
Crabe, cru;131
Ormeau, cru;99.3
Coquille Saint-Jacques, noix, crue;83.6
Pecten d'Amérique ou Peigne du canada, noix, crue;82.1
Pétoncle ou Peigne du Pérou, noix, crue;88.7
Crevette rose, crue;90.1
Grenouille, cuisse, crue;70.1
Crabe, miettes et ou pattes décortiquées, appertisé, égoutté;108
Moule, appertisée, égouttée;102
Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée;145
Coquille Saint-Jacques, noix et corail, cuite;110
Crevette, cuite;106
Homard, bouilli/cuit à l'eau;87.3
Moule, bouillie/cuite à l'eau;108
Bulot ou Buccin, cuit;97.7
Langouste, bouillie/cuite à l'eau;106
Crabe ou Tourteau, bouilli/cuit à l'eau;115
Clam, Praire ou Palourde, bouilli/cuit à l'eau;99.2
Écrevisse, cuite;73.5
Calmar ou calamar ou encornet, bouilli/cuit à l'eau;149
Poulpe, cuit;156
Fruits de mer, cuits, surgelés;79.5
Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse;173
Escargot, sans matière grasse ajoutée, cuit;80
Terrine de fruits de mer, avec ou sans poisson;188
Avocat, pulpe, cru;147
Bette ou blette, crue;23.2
Carotte, crue;36.4
Champignon, tout type, cru;21.6
Salade ou chicorée frisée, crue;21.8
Chou rouge, cru;29.3
Chou-fleur, cru;26.2
Concombre, pulpe et peau, cru;13.2
Courgette, pulpe et peau, crue;16.5
Cresson de fontaine, cru;14.9
Céleri branche, cru;21.9
Endive, crue;20.8
Fenouil, cru;19.9
Laitue, crue;14.6
Oignon, cru;39
Pissenlit, cru;48.8
Poireau, cru;32.6
Poivron, vert, jaune ou rouge, cru;26.8
Potiron, cru;19.9
Radis rouge, cru;11.4
Tomate, crue;18.4
Artichaut, cru;45.7
Aubergine, crue;21.3
Cardon, cru;13.6
Céleri-rave, cru;32.4
Champignon de Paris ou champignon de couche, cru;21.1
Brocoli, cru;35.3
Chou de Bruxelles, cru;50.1
Épinard, cru;29.1
Haricot vert, cru;30.1
Navet, pelé, cru;26.8
Chou-rave, cru;25.1
Chou vert, cru;27.5
Haricot vert, surgelé, cru;34
Petits pois, crus;67.3
Asperge, pelée, crue;23.5
Chou-fleur, surgelé, cru;24.3
Épinard, surgelé, cru;24.6
Petits pois, surgelés, crus;77.2
Poivron vert, cru;19.6
Poivron rouge, cru;29.4
Radis noir, cru;20.3
Scarole, crue;14.5
Betterave rouge, crue;50.6
Échalote, crue;58.7
Mâche, crue;19.2
Légumes, mélange surgelé, crus;65.1
Champignon, chanterelle ou girolle, crue;33.1
Champignon, morille, crue;24.5
Maïs doux, en épis, surgelé, cru;97.4
Oseille, crue;23.4
Champignon, pleurote, crue;25.5
Chou blanc, cru;27.8
Tomate verte, crue;24.8
Haricot de Lima, cru;105
Courge musquée, pulpe, crue;23.5
Potimarron, pulpe, cru;18
Courge hokkaïdo, pulpe, crue;56.1
Courge melonnette, pulpe, crue;30.8
Courge doubeurre (butternut), pulpe, crue;25
Courge, crue;14.9
Courge spaghetti, pulpe, crue;32.3
Piment, cru;44.5
Champignon, oronge vraie, crue;23.2
Champignon, cèpe, cru;31.6
Champignon, rosé des prés, cru;25.3
Chicorée rouge, crue;18.9
Chicorée verte, crue;16.1
Citrouille, pulpe, crue;29.9
Chou chinois ou pak-choi ou pé-tsai, cru;15.5
Poivron jaune, cru;29.4
Laitue romaine, crue;17.3
Tomate cerise, crue;21.4
Pois mange-tout ou pois gourmand, cru;44.8
Panais, cru;58.3
"Haricot mungo germé ou pousse de ""soja"", cru";30.5
Haricot beurre, cru;36.1
Salsifis noir, cru;83.1
Bambou, pousse, crue;35.1
Cresson alénois, cru;23.1
Laitue iceberg, crue;17.7
